stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,Instructions.started,instructions.started,Instructions.stopped,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,Thank_You_.started,thank_you.started,thank_you.stopped,Thank_You_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
42,1,1,53.056155708036385,,,,,53.048289166996256,53.056155708036385,53.54518667,53.54518667,53.54958904196974,53.832334083039314,54.09788387501612,right,1,1,1,0.5471367080463096,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
43,1,1,54.106170832994394,,,,,54.09837721,54.106170832994394,54.59540820796974,54.59540820796974,54.60038237494882,54.88252466695849,55.264104292029515,right,1,1,1,0.6608093740651384,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
44,0.5,1,55.27245212497655,,,,,55.26463666697964,55.27245212497655,55.76194337499328,55.76194337499328,55.76620633294806,56.04924945801031,56.430923916981556,left,-1,0,0,0.6623410830507055,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
45,0.5,1.5,56.43840437498875,,,,,56.43135129194707,56.43840437498875,56.92866208299529,56.92866208299529,56.93271579197608,57.216017375001684,57.401156374951825,right,1.5,1,1,0.4684754160698503,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
46,0.5,1.5,57.411763667012565,,,,,57.401512125041336,57.411763667012565,57.900810541934334,57.900810541934334,57.900810541934334,58.19930179195944,58.447398375021294,right,1.5,1,1,0.5384462910005823,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
47,0.5,1.5,58.454638082999736,,,,,58.447821583016776,58.454638082999736,58.94549516693223,58.94549516693223,58.94984050001949,59.232810667017475,59.66809541697148,left,-1.5,1,1,0.7185532490257174,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
48,0.5,1,59.67847433302086,,,,,59.66847666702233,59.67847433302086,60.16710187494755,60.16710187494755,60.16710187494755,60.46218241692986,60.88428775,left,-1,1,1,0.7120147489476949,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
49,0.5,1,60.89523188,,,,,60.884637458017096,60.89523188,61.38370991696138,61.38370991696138,61.38370991696138,61.67885867,62.11411500000395,left,-1,1,1,0.720505916,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
50,0.5,1,62.121341833029874,,,,,62.11452924995683,62.121341833029874,62.612169667030685,62.612169667030685,62.617159832967445,62.89948233298492,63.18510250002146,right,1,1,1,0.5679472079500556,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
51,0.5,1,63.195257624960504,,,,,63.18546524993144,63.195257624960504,63.683318292023614,63.683318292023614,63.683318292023614,63.97871745796874,64.58059108,left,-1,1,1,0.8828338739695027,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
52,0.5,1,64.58744520798791,,,,,64.58094008,64.58744520798791,65.07896962494124,65.07896962494124,65.08402595797088,65.366275,65.88087337499019,left,-1,1,1,0.7911938319448382,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
53,0.5,1,65.88820916693658,,,,,65.88131095794961,65.88820916693658,66.37890141701791,66.37890141701791,66.38323520799167,66.66626170801464,67.14756766695064,right,1,1,1,0.764503832,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
54,0.5,1,67.15493958303705,,,,,67.14796400000341,67.15493958303705,67.64567945792805,67.64567945792805,67.64977499993984,67.93303066701628,68.71842962503433,right,1,1,1,1.0695022080326453,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
55,0.5,1,68.72878304193728,,,,,68.71880758,68.72878304193728,69.21866937493905,69.21866937493905,69.21866937493905,69.51630196,69.81501708296128,right,1,1,1,0.5864948739763349,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
56,0.5,1,69.82257650000975,,,,,69.81553270795848,69.82257650000975,70.31240979197901,70.31240979197901,70.31738320796285,70.59966883296147,70.86432525003329,right,1,1,1,0.5428290410200134,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
57,0.5,1,70.87162254203577,,,,,70.86478887498379,70.87162254203577,71.36248000001069,71.36248000001069,71.36654233303852,71.64977416698821,71.98090470803436,right,1,1,1,0.6067122489912435,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
58,0.5,1,71.98814575001597,,,,,71.98132137500215,71.98814575001597,72.47916445799638,72.47916445799638,72.48331483302172,72.76660137495492,73.11442141700536,right,1,1,1,0.6312759569846094,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
59,0.5,1,73.12170016695745,,,,,73.11481425003149,73.12170016695745,73.61245937494095,73.61245937494095,73.61627374996897,73.89974875,74.50090646,left,-1,1,1,0.8867083740187809,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
60,0.5,1,74.51264974998776,,,,,74.50124404,74.51264974998776,75.00112587492913,75.00112587492913,75.00112587492913,75.29989137500525,75.83127987501211,right,1,1,1,0.8160222079604864,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
61,0.5,1,75.83864891703706,,,,,75.83170212502591,75.83864891703706,76.32920304196887,76.32920304196887,76.33300304203294,76.61656074994244,77.24791449995246,left,-1,1,1,0.9152564990799874,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
62,0.5,1,77.25537354196422,,,,,77.248311,77.25537354196422,77.74592691694852,77.74592691694852,77.75053554202896,78.03330008301418,78.33524579193909,left,-1,1,1,0.5862445820821449,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
63,0.5,1,78.34570458298549,,,,,78.33566141698975,78.34570458298549,78.83429787494242,78.83429787494242,78.83429787494242,79.13329720799811,79.51527979201637,left,-1,1,1,0.6689677080139518,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
64,0.5,1,79.52283516700845,,,,,79.51580699998885,79.52283516700845,80.01267904194538,80.01267904194538,80.01678104198072,80.30005466693547,80.78543333301786,left,-1,1,1,0.7675105830421671,,,,,414938,001,2025-09-03_08h55.14.096,adaptive_staircase,,2025.1.1,None,2025-09-03 08h55.16.497906 +0530
