reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
7,49,21,26,26,0,t,6.421409917005803,None,0,26,26,46,210.35920583404368,,210.3520899169962,210.35920583404368,211.34619779203786,211.34619779203786,211.35331241699168,217.77210329199443,t,6.421409917005803,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
16,69,5,27,27,0,l,4.224992375995498,None,0,27,27,23,217.7866133750067,,217.77910587500082,217.7866133750067,218.77041666704463,218.77041666704463,218.7764196670032,223.00607608404243,l,4.224992375995498,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
48,59,120,28,28,0,t,4.441089291998651,None,0,28,28,70,223.02061333402526,,223.01326687500114,223.02061333402526,224.0039076670073,224.0039076670073,224.0108161669923,228.45602445903933,t,4.441089291998651,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
27,64,45,29,29,0,t,4.527913041994907,None,0,29,29,59,228.4706000420265,,228.46289745904505,228.4706000420265,229.4540797090158,229.4540797090158,229.46043191704666,233.98958541703178,t,4.527913041994907,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
36,51,120,30,30,0,t,21.30975158396177,None,0,30,30,69,234.0042619589949,,233.99655670899665,234.0042619589949,234.98758745903615,234.98758745903615,234.99367204203736,256.306911666994,t,21.30975158396177,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
11,57,1,31,31,0,l,4.494085208978504,None,0,31,31,7,256.3222010420286,,256.3141033750144,256.3222010420286,257.30497762502637,257.30497762502637,257.3112697090255,261.8070246670395,l,4.494085208978504,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
12,42,5,32,32,0,l,10.51069116697181,None,0,32,32,21,261.8201730000437,,261.8121496250387,261.8201730000437,262.80521916702855,262.80521916702855,262.8113085000077,273.3242663750425,l,10.51069116697181,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
14,53,270,33,33,0,t,4.07477333402494,None,0,33,33,85,273.339787792007,,273.3316064590472,273.339787792007,274.3220094590215,274.3220094590215,274.3391936250264,278.4082047920092,t,4.07477333402494,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
67,73,90,34,34,0,t,2.726989833987318,None,0,34,34,68,278.42505645903293,,278.4162779590115,278.42505645903293,279.405741124996,279.405741124996,279.42262625001604,282.14118229201995,t,2.726989833987318,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
56,64,120,35,35,0,t,3.1535571250133216,None,0,35,35,71,282.1552895840141,,282.1479075840325,282.1552895840141,283.13923345902003,283.13923345902003,283.14606483402895,286.2973180420231,t,3.1535571250133216,None,04,001,2025-10-30_00h07.50.512,delay discounting,,2025.1.1,120.46759492596556,2025-10-30 00h08.04.192309 +0530,
